,date,url_match,left_rounds_seq,right_rounds_seq
11,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141084/eternal-fire-academy-vs-prospects,"['', '', '1-2', '2-2', '3-2', '4-2', '5-2', '', '6-3', '', '7-4', '', '8-5', '', '', '9-7', '10-7', '', '', '', '', '11-11', '', '', '', '', '12-15', '13-15', '14-15', '']","['0-1', '0-2', '', '', '', '', '', '5-3', '', '6-4', '', '7-5', '', '8-6', '8-7', '', '', '10-8', '10-9', '10-10', '10-11', '', '11-12', '11-13', '11-14', '11-15', '', '', '', '14-16']"
12,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141085/tag-vs-avangar,"['1-0', '2-0', '3-0', '', '', '', '', '4-4', '5-4', '6-4', '', '', '7-6', '', '', '8-8', '9-8', '', '10-9', '11-9', '12-9', '13-9', '14-9', '15-9', '16-9', '', '', '', '', '']","['', '', '', '3-1', '3-2', '3-3', '3-4', '', '', '', '6-5', '6-6', '', '7-7', '7-8', '', '', '9-9', '', '', '', '', '', '', '', '', '', '', '', '']"
13,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141083/avangar-vs-tag,"['1-0', '', '', '2-2', '3-2', '4-2', '', '', '', '5-5', '', '', '', '', '', '6-10', '7-10', '', '', '8-12', '9-12', '10-12', '', '11-13', '12-13', '', '13-14', '14-14', '', '']","['', '1-1', '1-2', '', '', '', '4-3', '4-4', '4-5', '', '5-6', '5-7', '5-8', '5-9', '5-10', '', '', '7-11', '7-12', '', '', '', '10-13', '', '', '12-14', '', '', '14-15', '14-16']"
14,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141081/tag-vs-avangar,"['1-0', '2-0', '3-0', '4-0', '5-0', '6-0', '7-0', '8-0', '9-0', '10-0', '11-0', '12-0', '13-0', '', '14-1', '15-1', '16-1', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '13-1', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
15,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141082/navi-junior-vs-spirit-academy,"['1-0', '', '', '', '', '2-4', '', '', '', '', '', '', '', '3-11', '4-11', '5-11', '6-11', '7-11', '8-11', '9-11', '10-11', '', '', '', '11-14', '', '', '', '', '']","['', '1-1', '1-2', '1-3', '1-4', '', '2-5', '2-6', '2-7', '2-8', '2-9', '2-10', '2-11', '', '', '', '', '', '', '', '', '10-12', '10-13', '10-14', '', '11-15', '11-16', '', '', '']"
16,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141079/prospects-vs-mouz-nxt,"['', '', '', '1-3', '', '', '', '', '', '', '2-9', '3-9', '4-9', '5-9', '6-9', '', '', '', '', '7-13', '', '', '8-15', '', '', '', '', '', '', '']","['0-1', '0-2', '0-3', '', '1-4', '1-5', '1-6', '1-7', '1-8', '1-9', '', '', '', '', '', '6-10', '6-11', '6-12', '6-13', '', '7-14', '7-15', '', '8-16', '', '', '', '', '', '']"
17,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141078/og-academy-vs-ence-academy,"['1-0', '2-0', '3-0', '4-0', '5-0', '', '', '6-2', '7-2', '', '', '8-4', '9-4', '10-4', '', '', '', '', '', '', '11-10', '', '', '', '', '', '12-15', '13-15', '', '']","['', '', '', '', '', '5-1', '5-2', '', '', '7-3', '7-4', '', '', '', '10-5', '10-6', '10-7', '10-8', '10-9', '10-10', '', '11-11', '11-12', '11-13', '11-14', '11-15', '', '', '13-16', '']"
18,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141076/mouz-nxt-vs-spirit-academy,"['', '', '1-2', '', '', '', '', '', '', '', '', '', '', '2-12', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['0-1', '0-2', '', '1-3', '1-4', '1-5', '1-6', '1-7', '1-8', '1-9', '1-10', '1-11', '1-12', '', '2-13', '2-14', '2-15', '2-16', '', '', '', '', '', '', '', '', '', '', '', '']"
19,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141080/avangar-vs-iron-branch,"['', '', '', '1-3', '2-3', '3-3', '', '', '', '', '4-7', '5-7', '6-7', '', '7-8', '8-8', '9-8', '10-8', '', '', '11-10', '12-10', '13-10', '', '', '', '', '', '', '']","['0-1', '0-2', '0-3', '', '', '', '3-4', '3-5', '3-6', '3-7', '', '', '', '6-8', '', '', '', '', '10-9', '10-10', '', '', '', '13-11', '13-12', '13-13', '13-14', '13-15', '13-16', '']"
20,27/7/22,https://www.hltv.org/stats/matches/mapstatsid/141077/iron-branch-vs-avangar,"['1-0', '2-0', '3-0', '4-0', '', '5-1', '', '', '', '6-4', '7-4', '8-4', '9-4', '', '10-5', '', '11-6', '', '', '', '12-9', '13-9', '14-9', '15-9', '16-9', '', '', '', '', '']","['', '', '', '', '4-1', '', '5-2', '5-3', '5-4', '', '', '', '', '9-5', '', '10-6', '', '11-7', '11-8', '11-9', '', '', '', '', '', '', '', '', '', '']"
