,name,flag,maps_count,kd_diff,kd_ratio,rating,url,wins,draws,losses,total_kills,total_deaths,rounds_played
45,AVANGAR,Kazakhstan,781,+6297,1.10,1.01,https://www.hltv.org/stats/teams/8120/avangar,490 , 0 , 291,71267,64970,20565
46,Isurus,Argentina,745,+1570,1.02,1.01,https://www.hltv.org/stats/teams/7653/isurus,443 , 0 , 302,66899,65329,19525
47,AGO,Poland,1537,+2972,1.02,1.01,https://www.hltv.org/stats/teams/8068/ago,839 , 0 , 698,140050,137078,41173
48,PENTA,Europe,732,-733,0.99,1.01,https://www.hltv.org/stats/teams/5395/penta,356 , 0 , 376,65141,65874,19141
49,LDLC,France,1500,+2493,1.02,1.00,https://www.hltv.org/stats/teams/4674/ldlc,798 , 4 , 698,134963,132470,39651
50,Nexus,Romania,989,+568,1.01,1.00,https://www.hltv.org/stats/teams/7187/nexus,512 , 0 , 477,89552,88984,25994
51,Nemiga,Belarus,1278,+2683,1.02,1.00,https://www.hltv.org/stats/teams/7969/nemiga,662 , 2 , 614,115354,112671,34249
52,Gambit,Russia,1024,+4982,1.06,1.00,https://www.hltv.org/stats/teams/6651/gambit,609 , 0 , 415,93182,88200,26985
53,SJ,Finland,748,-1474,0.98,1.00,https://www.hltv.org/stats/teams/8504/sj,340 , 0 , 408,66262,67736,20040
54,Copenhagen Flames,Denmark,1089,+2405,1.03,0.99,https://www.hltv.org/stats/teams/7461/copenhagen-flames,603 , 0 , 486,98185,95780,29132
55,Tricked,Denmark,1588,+1466,1.01,0.99,https://www.hltv.org/stats/teams/4602/tricked,855 , 0 , 733,141164,139698,41946
56,PACT,Poland,865,-2185,0.97,0.98,https://www.hltv.org/stats/teams/8248/pact,400 , 0 , 465,78079,80264,23546
57,Izako Boars,Poland,732,-2401,0.96,0.97,https://www.hltv.org/stats/teams/7681/izako-boars,349 , 0 , 383,65203,67604,19664
58,ALTERNATE aTTaX,Germany,1668,+440,1.00,0.97,https://www.hltv.org/stats/teams/4501/alternate-attax,838 , 4 , 826,148219,147779,44032
